1,北京市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2,天津市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,河北省石家庄市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,山西省太原市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,内蒙古呼和浩特市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
6,辽宁省沈阳市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,吉林省长春市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,黑龙江省哈尔滨市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,上海市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,江苏省南京市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
11,浙江省杭州市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
12,安徽省合肥市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
13,福建省福州市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
14,江西省南昌市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,山东省济南市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
16,河南省郑州市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
17,湖南省长沙市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
18,湖北省武汉市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,广东省广州市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20,广西南宁市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
21,海南省海口市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,重庆市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
23,四川省成都市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
24,贵州省贵阳市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
25,云南省昆明市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,西藏拉萨市,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
27,陕西省西安市,1,1,1,,,,,,,,,,,,,,,,,,,,,,2840,,,,
28,甘肃省兰州市,1,1,1,,,,,,,,,,,,,,,,,,,,,,2180,650,,,
29,青海省西宁市,1,1,1,,,,,,,,,,,,,,,,,,,,,,1970,890,230,,
30,宁夏银川市,1,1,1,,,,,,,,,,,,,,,,,,,,,,2600,740,440,640,
31,新疆乌鲁木齐市,1,1,1,,,,,,,,,,,,,,,,,,,,,,2750,2540,1910,1740,2120
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
